name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,output_type,gtex_tissue,histone_mark,transcription_factor
EFO:0010843 ATAC-seq,.,ATAC-seq,EFO:0010843,HG02610,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010844 ATAC-seq,.,ATAC-seq,EFO:0010844,HG02623,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010846 ATAC-seq,.,ATAC-seq,EFO:0010846,HG02678,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010847 ATAC-seq,.,ATAC-seq,EFO:0010847,HG02759,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010848 ATAC-seq,.,ATAC-seq,EFO:0010848,HG02763,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010850 ATAC-seq,.,ATAC-seq,EFO:0010850,HG02840,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010851 ATAC-seq,.,ATAC-seq,EFO:0010851,HG02852,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010852 ATAC-seq,.,ATAC-seq,EFO:0010852,HG02870,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010853 ATAC-seq,.,ATAC-seq,EFO:0010853,HG02884,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010855 ATAC-seq,.,ATAC-seq,EFO:0010855,HG02938,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010856 ATAC-seq,.,ATAC-seq,EFO:0010856,HG02943,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010857 ATAC-seq,.,ATAC-seq,EFO:0010857,HG02970,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010858 ATAC-seq,.,ATAC-seq,EFO:0010858,HG02973,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010859 ATAC-seq,.,ATAC-seq,EFO:0010859,HG02981,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010860 ATAC-seq,.,ATAC-seq,EFO:0010860,HG03025,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010861 ATAC-seq,.,ATAC-seq,EFO:0010861,HG03039,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010862 ATAC-seq,.,ATAC-seq,EFO:0010862,HG03045,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010863 ATAC-seq,.,ATAC-seq,EFO:0010863,HG03060,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010864 ATAC-seq,.,ATAC-seq,EFO:0010864,HG03064,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010865 ATAC-seq,.,ATAC-seq,EFO:0010865,HG03066,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010866 ATAC-seq,.,ATAC-seq,EFO:0010866,HG03095,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010867 ATAC-seq,.,ATAC-seq,EFO:0010867,HG03097,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010868 ATAC-seq,.,ATAC-seq,EFO:0010868,HG03103,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010869 ATAC-seq,.,ATAC-seq,EFO:0010869,HG03108,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010870 ATAC-seq,.,ATAC-seq,EFO:0010870,HG03135,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010871 ATAC-seq,.,ATAC-seq,EFO:0010871,HG03139,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010872 ATAC-seq,.,ATAC-seq,EFO:0010872,HG03159,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010873 ATAC-seq,.,ATAC-seq,EFO:0010873,HG03175,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010874 ATAC-seq,.,ATAC-seq,EFO:0010874,HG03196,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010875 ATAC-seq,.,ATAC-seq,EFO:0010875,HG03280,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010876 ATAC-seq,.,ATAC-seq,EFO:0010876,HG03342,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010878 ATAC-seq,.,ATAC-seq,EFO:0010878,HG03378,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010879 ATAC-seq,.,ATAC-seq,EFO:0010879,HG03432,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010880 ATAC-seq,.,ATAC-seq,EFO:0010880,HG03439,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010881 ATAC-seq,.,ATAC-seq,EFO:0010881,HG03442,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010882 ATAC-seq,.,ATAC-seq,EFO:0010882,HG03457,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010883 ATAC-seq,.,ATAC-seq,EFO:0010883,HG03460,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010884 ATAC-seq,.,ATAC-seq,EFO:0010884,HG03469,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010885 ATAC-seq,.,ATAC-seq,EFO:0010885,HG03520,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010886 ATAC-seq,.,ATAC-seq,EFO:0010886,HG03521,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010888 ATAC-seq,.,ATAC-seq,EFO:0010888,HG03565,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010889 ATAC-seq,.,ATAC-seq,EFO:0010889,HG03571,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
NTR:0000491 ATAC-seq,.,ATAC-seq,NTR:0000491,Right ventricle myocardium inferior,tissue,adult,encode,paired,False,OutputType.ATAC,,,
NTR:0000492 ATAC-seq,.,ATAC-seq,NTR:0000492,Right ventricle myocardium superior,tissue,adult,encode,paired,False,OutputType.ATAC,,,
NTR:0000494 ATAC-seq,.,ATAC-seq,NTR:0000494,left ventricle myocardium superior,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0000056 ATAC-seq,.,ATAC-seq,UBERON:0000056,ureter,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0000317 ATAC-seq,.,ATAC-seq,UBERON:0000317,colonic mucosa,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0000945 ATAC-seq,.,ATAC-seq,UBERON:0000945,stomach,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0000992 ATAC-seq,.,ATAC-seq,UBERON:0000992,ovary,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0000995 ATAC-seq,.,ATAC-seq,UBERON:0000995,uterus,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0001072 ATAC-seq,.,ATAC-seq,UBERON:0001072,posterior vena cava,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0001114 ATAC-seq,.,ATAC-seq,UBERON:0001114,right lobe of liver,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0001115 ATAC-seq,.,ATAC-seq,UBERON:0001115,left lobe of liver,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0001150 ATAC-seq,.,ATAC-seq,UBERON:0001150,body of pancreas,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0001157 ATAC-seq,.,ATAC-seq,UBERON:0001157,transverse colon,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0001159 ATAC-seq,.,ATAC-seq,UBERON:0001159,sigmoid colon,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0001259 ATAC-seq,.,ATAC-seq,UBERON:0001259,mucosa of urinary bladder,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0001264 ATAC-seq,.,ATAC-seq,UBERON:0001264,pancreas,tissue,adult,encode,paired,False,OutputType.ATAC,,,
UBERON:0001322 ATAC-seq,.,ATAC-seq,UBERON:0001322,sciatic nerve,tissue,adult,encode,paired,False,OutputType.ATAC,,,
